1835 May 24,PPS3-20,Infant Baptism
1835 Oct 25,PPS3-16,The Church Visible and Invisible
1835 Nov 1,PPS3-25,The Intermediate State
1835 Nov 8,PPS3-18,The Gift of the Spirit
1835 Nov 15,PPS3-19,Regenerating Baptism
1836 Feb 21,PPS4-20,The Ventures of Faith
1836 Mar 13,PPS8-18,Ignorance of Evil
1836 Mar 20,PPS4-3,Moral Consequences of Single Sins
1836 Mar 27,PPS4-6,The Individuality of the Soul
1836 Apr 1,PPS6-6,"The Incarnate Son, a Sufferer and Sacrifice"
1836 Apr 26,PPS6-5,"Christ, the Son of God Made Man"
1836 May 29,PPS4-19,The Mysteriousness of Our Present Being
1836 Jun 12,PPS4-8,Peace and Joy amid Chastisement
1836 Aug 14,SSD-13,Elisha a Type of Christ and His Followers
1836 Oct 23,PPS4-14,The Greatness and Littleness of Human Life
1836 Oct 30,PPS8-1,Reverence in Worship
1836 Nov 1,PPS8-11,Doing Glory to God in Pursuits of the World
1836 Nov 6,PPS4-9,The State of Grace
1836 Nov 13,PPS6-19,The Gospel Palaces
1836 Nov 20,PPS4-10,The Visible Church for the Sake of the Elect
1836 Dec 4,PPS5-4,Shrinking from Christ's Coming
1836 or 1837,PPS6-15,Rising with Christ
1837 Jan 1,SSD-8,The Church and the World
1837 Mar 26 A,PPS5-7,The Mystery of Godliness
1837 Apr 2,PPS4-2,"Obedience without Love, as Instanced in the Character of Balaam"
1837 Apr 30,PPS4-5,Reliance on Religious Observances
1837 May 7,PPS4-17,Christ Manifested in Remembrance
1837 May 14,PPS4-11,The Communion of Saints
1837 May 21,PPS6-23,Faith without Demonstration
1837 Jun 25,PPS8-4,The Call of David
1837 Jul 9,PPS4-1,The Strictness of the Law of Christ
1837 Jul 16,PPS4-13,The Invisible World
1837 Aug 6,PPS4-7,Chastisement amid Mercy
1837 Sep 10,PPS5-18,"Many Called, Few Chosen"
1837 Oct 22,PPS4-12,The Church a Home for the Lonely
1837 Oct 29,PPS6-22,The Weapons of Saints
1837 Nov 12 & 26,PPS6-9,The Gospel Sign Addressed to Faith
1837 Dec 3,PPS4-22,Watching
1837 Dec 10,PPS4-15,Moral Effects of Communion with God
1837 Dec 25,PPS4-16,Christ Hidden from the World
1838 Feb 11,PPS5-8,The State of Innocence
1838 Feb 25,PPS4-21,Faith and Love
1838 Mar 4,PPS6-1,Fasting a Source of Trial
1838 Mar 18,PPS5-13,The State of Salvation
1838 Mar 25,PPS5-14,Transgressions and Infirmities
1838 Apr 1,PPS5-15,Sins of Infirmity
1838 Apr 15,PPS4-23,Keeping Fast and Festival
1838 Apr 22,PPS4-18,The Gainsaying of Korah
1838 May 6,PPS6-10,The Spiritual Presence of Christ in the Church
1838 May 13,PPS6-11,The Eucharistic Presence
1838 May 20 & 27,PPS7-12,The Gospel Feast
1838 May 24,PPS6-16,Warfare the Condition of Victory
1838 Sep 22,PPS5-6,Remembrance of Past Mercies
1838 Nov 4,PPS5-2,"Reverence, a Belief in God's Presence"
1838 Nov 18,SSD-7,Faith and the World
1838 Nov 25,SSD-6,Faith and Experience
1838 Dec 2,PPS5-1,"Worship, a Preparation for Christ's Coming"
1838 Dec 9,PPS5-17,The Testimony of Conscience
1838 Dec 16,PPS5-16,Sincerity and Hypocrisy
1839 Epiphany,OUS-10,"Faith and Reason, Contrasted as Habits of Mind"
1839 Jan 13,OUS-11,The Nature of Faith in Relation to Reason
1839 Feb 10,PPS5-23,"Love, the One Thing Needful"
1839 Feb 17,PPS5-9,Christian Sympathy
1839 Feb 24,PPS7-8,The Yoke of Christ
1839 Mar 3,PPS5-20,"Endurance, the Christian's Portion"
1839 Mar 10,PPS5-19,Present Blessings
1839 Mar 31,PPS6-8,Difficulty of Realizing Sacred Privileges
1839 May 21,OUS-12,Love the Safeguard of Faith against Superstition
1839 May 26,PPS6-25,Peace in Believing
1839 Jun 2,PPS5-3,Unreal Words
1839 Jun 9,PPS5-22,"The Thought of God, the Stay of the Soul"
1839 Sep 23,PPS6-21,Offerings for the Sanctuary
1839 Oct 5,PPS6-14,The Fellowship of the Apostles
1839 Dec 22,PPS5-5,Equanimity
1840 Jan 12,PPS5-11,The Law of the Spirit
1840 Jan 19,PPS5-10,"Righteousness Not of Us, but in Us"
1840 Jan 26,PPS5-12,The New Works of the Gospel
1840 Mar 1,PPS5-24,The Power of the Will
1840 Mar 15,PPS6-2,Lent the Season of Repentance
1840 Mar 29,PPS8-10,Endurance of the World's Censure
1840 Apr 12,PPS6-4,Christ's Privations a Meditation for Christians
1840 May 3,PPS7-13,"Love of Religion, a New Nature"
1840 May 10,PPS7-14,Religion Pleasant to the Religious
1840 May 31,SSD-18,Condition of the Members of the Christian Empire
1840 Sep 22,PPS6-20,The Visible Temple
1840 Nov 29 & Dec 6  ,PPS6-17,Waiting for Christ
1840 Dec 13,PPS6-18,Subjection of the Reason and Feelings to the Revealed Word
1840 Dec 25,SSD-5,The Three Offices of Christ
1840 St. Peter's Day,OUS-13,Implicit and Explicit Reason
1841 Jan 17,PPS7-6,The Season of Epiphany
1841 Jan 24,PPS6-12,Faith the Title for Justification
1841 Feb 28,PPS6-13,Judaism of the Present Day
1841 Mar 21,PPS6-3,Apostolic Abstinence a Pattern for Christians
1841 Apr 9,PPS6-7,The Cross of Christ the Measure of the World
1841 Jun 1,OUS-14,"Wisdom, as Contrasted with Faith and with Bigotry"
1841 Jun 13,SSD-12,Joshua a Type of Christ and His Followers
1841 Jul 4,PPS8-3,The Trial of Saul
1841 Nov 28,SSD-21,Invisible Presence of Christ
1841 Dec 5,SSD-22,Outward and Inward Notes of the Church
1841 Dec 12,SSD-24,Elijah the Prophet of the Latter Days
1841 Dec 19,SSD-23,Grounds for Steadfastness in Our Religious Profession
1842 Jan 23,SSD-1,The Work of the Christian
1842 Jan 23,PPS7-11,Attendance on Holy Communion
1842 Mar 25,PPS7-10,The Crucifixion
1842 May 1,SSD-9,Indulgence in Religious Privileges
1842 Sep 22,SSD-25,Feasting in Captivity
1842 Oct 16,SSD-2,Saintliness not Forfeited by the Penitent
1842 Oct 30,SSD-4,Dangers to the Penitent
1842 Nov 13,SSD-14,The Christian Church a Continuation of the Jewish
1842 Nov 20,SSD-15,The Principle of Continuity between the Jewish and Christian Churches
1842 Nov 27,SSD-16,The Christian Church an Imperial Power
1842 Dec 4,SSD-17,Sanctity the Token of the Christian Empire
1843 Feb 5 or 12,SSD-19,The Apostolical Christian
1843 Feb 19,SSD-20,Wisdom and Innocence
1843 Feb 26,SSD-3,Our Lord's Last Supper and His First
1843 Apr 30,PPS8-16,The Shepherd of Our Souls
Date not known,PPS6-24,The Mystery of the Holy Trinity
1843 Jun 4,SSD-10,Connection between Personal and Public Improvement
1843 Sep 25,SSD-26,The Parting of Friends
1843 Purification,OUS-15,The Theory of Developments in Religious Doctrine
1848 Jan 30,F&P-1,The Omnipotence of God the Reason for Faith
1848 Feb 20,F&P-2,Preparation for the Judgement
